date,secid,days,volatility,ticker
2014-03-03,101594.0,10.0,0.175724,AAPL
2014-03-03,101594.0,14.0,0.171607,AAPL
2014-03-03,101594.0,30.0,0.170744,AAPL
2014-03-03,101594.0,60.0,0.283251,AAPL
2014-03-03,101594.0,91.0,0.259037,AAPL
2014-03-03,101594.0,122.0,0.242424,AAPL
2014-03-03,101594.0,152.0,0.230206,AAPL
2014-03-03,101594.0,182.0,0.253781,AAPL
2014-03-03,101594.0,273.0,0.247124,AAPL
2014-03-03,101594.0,365.0,0.25361,AAPL
2014-03-03,101594.0,547.0,0.296661,AAPL
2014-03-03,101594.0,730.0,0.29374,AAPL
2014-03-03,101594.0,1825.0,0.282545,AAPL
2014-03-04,101594.0,10.0,0.164116,AAPL
2014-03-04,101594.0,14.0,0.175357,AAPL
2014-03-04,101594.0,30.0,0.166896,AAPL
2014-03-04,101594.0,60.0,0.278515,AAPL
2014-03-04,101594.0,91.0,0.253145,AAPL
2014-03-04,101594.0,122.0,0.241172,AAPL
2014-03-04,101594.0,152.0,0.229386,AAPL
2014-03-04,101594.0,182.0,0.2539,AAPL
2014-03-04,101594.0,273.0,0.247165,AAPL
2014-03-04,101594.0,365.0,0.252385,AAPL
2014-03-04,101594.0,547.0,0.296321,AAPL
2014-03-04,101594.0,730.0,0.293483,AAPL
2014-03-04,101594.0,1825.0,0.282289,AAPL
2014-03-05,101594.0,10.0,0.151966,AAPL
2014-03-05,101594.0,14.0,0.160118,AAPL
2014-03-05,101594.0,30.0,0.166874,AAPL
2014-03-05,101594.0,60.0,0.275076,AAPL
2014-03-05,101594.0,91.0,0.253204,AAPL
2014-03-05,101594.0,122.0,0.239715,AAPL
2014-03-05,101594.0,152.0,0.229374,AAPL
2014-03-05,101594.0,182.0,0.252335,AAPL
2014-03-05,101594.0,273.0,0.246872,AAPL
2014-03-05,101594.0,365.0,0.251133,AAPL
2014-03-05,101594.0,547.0,0.296071,AAPL
2014-03-05,101594.0,730.0,0.293059,AAPL
2014-03-05,101594.0,1825.0,0.281658,AAPL
2014-03-06,101594.0,10.0,0.152924,AAPL
2014-03-06,101594.0,14.0,0.149477,AAPL
2014-03-06,101594.0,30.0,0.162935,AAPL
2014-03-06,101594.0,60.0,0.271786,AAPL
2014-03-06,101594.0,91.0,0.252935,AAPL
2014-03-06,101594.0,122.0,0.238782,AAPL
